CityTown;Population;Latitude;Longitude
Chelyabinsk, Armaturnyy pereulok, 4;35;55.121778;61.501898
Chelyabinsk, Armaturnyy pereulok, 5a;224;55.120516;61.503309
Chelyabinsk, Armaturnyy pereulok, 5b;37;55.120629;61.502581
Chelyabinsk, Armaturnyy pereulok, 5v;403;55.12099;61.501782
Chelyabinsk, Armaturnyy pereulok, 5g;160;55.121149;61.501009
Chelyabinsk, Artilleriyskaya, 10;50;55.188977;61.42361
Chelyabinsk, Artilleriyskaya, 104;76;55.176059;61.429835
Chelyabinsk, Artilleriyskaya, 104a;77;55.175715;61.428722
Chelyabinsk, Artilleriyskaya, 105;40;55.168763;61.435468
Chelyabinsk, Artilleriyskaya, 106;158;55.175231;61.4298
Chelyabinsk, Artilleriyskaya, 108;62;55.174691;61.430159
Chelyabinsk, Artilleriyskaya, 110;184;55.174152;61.430482
Chelyabinsk, Artilleriyskaya, 112;44;55.173617;61.430824
Chelyabinsk, Artilleriyskaya, 114;198;55.17299;61.43183
Chelyabinsk, Artilleriyskaya, 114a;72;55.172856;61.430824
Chelyabinsk, Artilleriyskaya, 114b;87;55.172702;61.430078
Chelyabinsk, Artilleriyskaya, 116b;69;55.171735;61.429889
Chelyabinsk, Artilleriyskaya, 53;67;55.180722;61.427949
Chelyabinsk, Artilleriyskaya, 53b;110;55.181046;61.430437
Chelyabinsk, Artilleriyskaya, 61;70;55.178938;61.429027
Chelyabinsk, Artilleriyskaya, 63;45;55.178619;61.429503
Chelyabinsk, Artilleriyskaya, 63a;84;55.178624;61.43041
Chelyabinsk, Artilleriyskaya, 63b;44;55.178614;61.431434
Chelyabinsk, Artilleriyskaya, 65;143;55.177236;61.429952
Chelyabinsk, Artilleriyskaya, 66;265;55.18011;61.427212
Chelyabinsk, Artilleriyskaya, 66a;160;55.179252;61.427132
Chelyabinsk, Artilleriyskaya, 67;130;55.176352;61.430527
Chelyabinsk, Artilleriyskaya, 68;40;55.179467;61.427653
Chelyabinsk, Artilleriyskaya, 69;69;55.175679;61.430985
Chelyabinsk, Artilleriyskaya, 8;132;55.189593;61.423565
Chelyabinsk, Artilleriyskiy pereulok, 2;59;55.159444;61.437588
Chelyabinsk, Artilleriyskiy pereulok, 6;209;55.159624;61.434614
Chelyabinsk, Artilleriyskiy pereulok, 6a;60;55.160067;61.436258
Chelyabinsk, Arkhitektora Aleksandrova, 10;43;55.159007;61.307054
Chelyabinsk, Arkhitektora Aleksandrova, 4;69;55.159753;61.30603
Chelyabinsk, Arkhitektora Aleksandrova, 8;822;55.159702;61.307611
Chelyabinsk, Achinskaya, 23;78;55.106325;61.483878
Chelyabinsk, Achinskaya, 29;58;55.105202;61.485127
Chelyabinsk, Aeroport 1-y poselok, 13;31;55.28927;61.524715
Chelyabinsk, Aeroport 1-y poselok, 21;54;55.289465;61.525461
Chelyabinsk, Aeroport poselok, 11;30;55.288711;61.512319
Chelyabinsk, Aeroport poselok, 12;42;55.287419;61.512049
Chelyabinsk, Aeroport poselok, 13;31;55.287348;61.514367
Chelyabinsk, Aeroport poselok, 14;102;55.287409;61.513549
Chelyabinsk, Aeroport poselok, 16;56;55.288491;61.514636
Chelyabinsk, Aeroport poselok, 17;123;55.288552;61.513828
Chelyabinsk, Aeroport poselok, 19;56;55.287419;61.512822
Chelyabinsk, Aeroport poselok, 20;89;55.288501;61.517322
Chelyabinsk, Aeroport poselok, 22;155;55.286768;61.517008
Chelyabinsk, Aeroport poselok, 23;68;55.286122;61.518077
Chelyabinsk, Aeroport poselok, 25;38;55.286384;61.519344
Chelyabinsk, Aeroport poselok, 26;78;55.288358;61.518499
Chelyabinsk, Aeroport poselok, 8;76;55.289306;61.513648
Chelyabinsk, Bazhova, 16;188;55.18836;61.461869
Chelyabinsk, Bazhova, 20;43;55.187702;61.460854
Chelyabinsk, Bazhova, 26;89;55.187132;61.458492
Chelyabinsk, Bazhova, 28;193;55.186725;61.458204
Chelyabinsk, Bazhova, 30;59;55.186325;61.457944
Chelyabinsk, Bazhova, 34;169;55.18523;61.457171
Chelyabinsk, Bazhova, 35;339;55.189455;61.465849
Chelyabinsk, Bazhova, 36;130;55.184783;61.457153
Chelyabinsk, Bazhova, 42;198;55.183477;61.455617
Chelyabinsk, Bazhova, 76;154;55.180192;61.440121
Chelyabinsk, Bazhova, 76a;61;55.180526;61.439465
Chelyabinsk, Bazhova, 78;42;55.17992;61.438855
